vdd	water_volt	water_adc	waterTemp	water_R	DirectADC	DirectVolt	
4.92	0.00	56	0.00	0.00	1023	4.93	
4.92	0.00	56	0.00	0.00	1023	4.93	
4.92	0.00	56	0.00	0.00	1021	4.92	
4.92	0.00	56	0.00	0.00	1023	4.92	
4.92	0.00	56	0.00	0.00	1023	4.93	
4.92	0.00	56	0.00	0.00	1023	4.92	
4.92	0.00	56	0.00	0.00	1023	4.92	
4.92	0.00	56	0.00	0.00	1023	4.92	
4.92	0.00	56	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.92	
4.92	0.00	55	0.00	0.00	1023	4.91	
4.91	0.00	54	0.00	0.00	1023	4.91	
4.91	0.00	54	0.00	0.00	1023	4.91	
4.91	0.00	54	0.00	0.00	1023	4.91	
4.91	0.00	54	0.00	0.00	1023	4.91	
4.91	0.00	54	0.00	0.00	1023	4.91	
4.91	0.00	54	0.00	0.00	1023	4.91	
4.90	0.00	54	0.00	0.00	1023	4.90	
4.90	0.00	54	0.00	0.00	1023	4.90	
4.90	0.00	54	0.00	0.00	1023	4.90	
4.90	0.00	54	0.00	0.00	1023	4.90	
4.89	0.00	53	0.00	0.00	1023	4.89	
4.89	0.00	53	0.00	0.00	1023	4.89	
4.89	0.00	53	0.00	0.00	1023	4.89	
4.89	0.00	53	0.00	0.00	1023	4.89	
4.89	0.00	52	0.00	0.00	1023	4.89	
4.88	0.00	52	0.00	0.00	1021	4.87	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.88	
4.88	0.00	52	0.00	0.00	1023	4.87	
4.87	0.00	51	0.00	0.00	1023	4.87	
