vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC    AirDirectVolt
4.16	2.36	636	12.41	85752.31	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.93	2.19	586	9.70	98407.25	0	0.00
3.93	2.19	586	9.70	98407.25	0	0.00
3.91	2.18	584	9.21	100893.12	0	0.00
3.91	2.18	584	9.21	100893.12	0	0.00
3.91	2.18	584	9.21	100893.12	0	0.00
3.91	2.18	584	9.21	100893.12	0	0.00
3.91	2.18	582	9.25	100689.93	0	0.00
3.88	2.16	577	9.10	101465.43	0	0.00
3.88	2.16	577	9.10	101465.43	0	0.00
3.86	2.14	571	8.74	103354.06	0	0.00
3.86	2.14	571	8.74	103354.06	0	0.00
3.82	2.13	561	9.03	101835.43	0	0.00
3.82	2.13	561	9.03	101835.43	0	0.00
3.80	2.11	557	8.66	103770.87	0	0.00
3.80	2.11	557	8.66	103770.87	0	0.00
3.74	2.07	545	8.14	106617.06	0	0.00
3.74	2.07	545	8.14	106617.06	0	0.00
3.74	2.07	543	8.22	106175.00	0	0.00
3.72	2.06	538	8.19	106315.87	0	0.00
3.72	2.06	538	8.19	106315.87	0	0.00
3.69	2.04	532	8.00	107407.12	0	0.00
3.69	2.04	532	8.00	107407.12	0	0.00
3.65	2.01	521	7.85	108222.18	0	0.00
3.65	2.01	521	7.85	108222.18	0	0.00
3.62	1.99	514	7.55	109907.25	0	0.00
3.62	1.99	514	7.55	109907.25	0	0.00
3.61	2.00	511	7.95	107681.56	0	0.00
3.61	2.00	511	7.95	107681.56	0	0.00
3.61	2.00	511	7.95	107681.56	0	0.00
3.61	2.00	511	7.95	107681.56	0	0.00
3.61	2.00	511	7.95	107681.56	0	0.00
3.61	2.00	511	7.95	107681.56	0	0.00
3.61	2.00	511	7.95	107681.56	0	0.00
3.62	2.00	514	8.00	107372.00	0	0.00
3.62	2.00	514	8.00	107372.00	0	0.00
